Latitude;Longitude;Elevation;Time;Name;
34.0305683;-118.2872297;;;;
34.0305896;-118.2871234;;;;
34.0306098;-118.2870190;;;;
34.0306291;-118.2869156;;;;
34.0306492;-118.2868162;;;;
34.0306692;-118.2867188;;;;
34.0307384;-118.2863211;;;;
34.0307576;-118.2862217;;;;
34.0307771;-118.2861230;;;;
34.0307956;-118.2860238;;;;
34.0308374;-118.2858314;;;;
34.0308576;-118.2857362;;;;
34.0308968;-118.2855498;;;;
34.0309156;-118.2854563;;;;
34.0309344;-118.2853624;;;;
34.0309554;-118.2852681;;;;
34.0309753;-118.2851724;;;;
34.0309943;-118.2850760;;;;
34.0310328;-118.2848812;;;;
34.0310527;-118.2847811;;;;
34.0310925;-118.2845781;;;;
34.0311532;-118.2842683;;;;
34.0311736;-118.2841659;;;;
34.0312345;-118.2838562;;;;
34.0312543;-118.2837534;;;;
34.0312773;-118.2836500;;;;
34.0312980;-118.2835439;;;;
34.0313191;-118.2834361;;;;
34.0313390;-118.2833273;;;;
34.0313589;-118.2832181;;;;
34.0314006;-118.2830046;;;;
34.0314223;-118.2828984;;;;
34.0314451;-118.2827929;;;;
34.0314688;-118.2826885;;;;
34.0314903;-118.2825833;;;;
34.0315101;-118.2824794;;;;
34.0315293;-118.2823786;;;;
34.0315477;-118.2822790;;;;
34.0315838;-118.2820839;;;;
34.0316032;-118.2819909;;;;
34.0316404;-118.2818126;;;;
34.0316568;-118.2817265;;;;
34.0316742;-118.2816432;;;;
34.0316912;-118.2815599;;;;
34.0317081;-118.2814768;;;;
34.0317246;-118.2813938;;;;
34.0317405;-118.2813100;;;;
34.0317565;-118.2812257;;;;
34.0317864;-118.2810580;;;;
34.0318157;-118.2808892;;;;
34.0318501;-118.2807200;;;;
34.0318654;-118.2806385;;;;
34.0319044;-118.2804532;;;;
34.0319200;-118.2803846;;;;
34.0319240;-118.2803613;;;;
34.0319275;-118.2803475;;;;
34.0319300;-118.2803419;;;;
34.0319317;-118.2803413;;;;
34.0319323;-118.2803414;;;;
34.0319334;-118.2803412;;;;
34.0319334;-118.2803407;;;;
34.0319334;-118.2803404;;;;
34.0319335;-118.2803400;;;;
34.0319336;-118.2803397;;;;
34.0319327;-118.2803383;;;;
34.0319314;-118.2803359;;;;
34.0319304;-118.2803343;;;;
34.0319295;-118.2803328;;;;
34.0319289;-118.2803312;;;;
34.0319285;-118.2803297;;;;
34.0319280;-118.2803287;;;;
34.0319270;-118.2803264;;;;
34.0319283;-118.2803264;;;;
34.0319295;-118.2803262;;;;
34.0319301;-118.2803260;;;;
34.0319308;-118.2803263;;;;
34.0319325;-118.2803269;;;;
34.0319332;-118.2803277;;;;
34.0319335;-118.2803282;;;;
34.0319347;-118.2803297;;;;
34.0319351;-118.2803304;;;;
34.0319355;-118.2803311;;;;
34.0319416;-118.2803116;;;;
34.0319590;-118.2802316;;;;
34.0319728;-118.2801544;;;;
34.0319803;-118.2801121;;;;
34.0319882;-118.2800690;;;;
34.0319963;-118.2800250;;;;
34.0320128;-118.2799359;;;;
34.0320205;-118.2798930;;;;
34.0320269;-118.2798518;;;;
34.0320337;-118.2798127;;;;
34.0320592;-118.2796928;;;;
34.0320631;-118.2796727;;;;
34.0320665;-118.2796402;;;;
34.0320659;-118.2796379;;;;
34.0320696;-118.2796383;;;;
34.0320755;-118.2796228;;;;
34.0320853;-118.2795800;;;;
34.0320887;-118.2795488;;;;
34.0320941;-118.2795147;;;;
34.0321018;-118.2794750;;;;
34.0321310;-118.2793341;;;;
34.0321538;-118.2792268;;;;
34.0321669;-118.2791699;;;;
34.0321795;-118.2791111;;;;
34.0322150;-118.2789390;;;;
34.0322256;-118.2788873;;;;
34.0322432;-118.2787930;;;;
34.0322498;-118.2787514;;;;
34.0322549;-118.2787126;;;;
34.0322636;-118.2786446;;;;
34.0322666;-118.2786142;;;;
34.0322694;-118.2785849;;;;
34.0322740;-118.2785291;;;;
34.0322756;-118.2785054;;;;
34.0322788;-118.2784688;;;;
34.0322811;-118.2784376;;;;
34.0322818;-118.2784218;;;;
34.0322829;-118.2784046;;;;
34.0322835;-118.2783848;;;;
34.0322878;-118.2782956;;;;
34.0322896;-118.2782155;;;;
34.0322932;-118.2781190;;;;
34.0322945;-118.2780642;;;;
34.0322946;-118.2780046;;;;
34.0322920;-118.2778768;;;;
34.0322901;-118.2778091;;;;
34.0322713;-118.2775904;;;;
34.0322547;-118.2774385;;;;
34.0322449;-118.2773615;;;;
34.0322336;-118.2772842;;;;
34.0322206;-118.2772064;;;;
34.0322052;-118.2771314;;;;
34.0320976;-118.2769488;;;;
34.0319847;-118.2768483;;;;
34.0319228;-118.2767959;;;;
34.0318598;-118.2767436;;;;
34.0317976;-118.2766903;;;;
34.0317353;-118.2766353;;;;
34.0316726;-118.2765809;;;;
34.0316099;-118.2765268;;;;
34.0315478;-118.2764729;;;;
34.0314230;-118.2763665;;;;
34.0313612;-118.2763147;;;;
34.0313015;-118.2762637;;;;
34.0312444;-118.2762153;;;;
34.0311917;-118.2761676;;;;
34.0311418;-118.2761235;;;;
34.0310946;-118.2760831;;;;
34.0310516;-118.2760457;;;;
34.0310129;-118.2760117;;;;
34.0309809;-118.2759782;;;;
34.0309556;-118.2759462;;;;
34.0309345;-118.2759199;;;;
34.0309134;-118.2759027;;;;
34.0308852;-118.2758784;;;;
34.0308752;-118.2758709;;;;
34.0308743;-118.2758718;;;;
34.0308741;-118.2758724;;;;
34.0308739;-118.2758728;;;;
34.0308737;-118.2758729;;;;
34.0308733;-118.2758730;;;;
34.0308719;-118.2758735;;;;
34.0308713;-118.2758738;;;;
34.0308705;-118.2758749;;;;
34.0308713;-118.2758748;;;;
34.0308720;-118.2758747;;;;
34.0308718;-118.2758750;;;;
34.0308719;-118.2758755;;;;
34.0308718;-118.2758756;;;;
34.0308713;-118.2758788;;;;
34.0308712;-118.2758792;;;;
34.0308711;-118.2758802;;;;
34.0308710;-118.2758809;;;;
34.0308681;-118.2758787;;;;
34.0308670;-118.2758772;;;;
34.0308674;-118.2758732;;;;
34.0308651;-118.2758703;;;;
34.0308608;-118.2758649;;;;
34.0308537;-118.2758602;;;;
34.0308288;-118.2758390;;;;
34.0308101;-118.2758235;;;;
34.0307884;-118.2758057;;;;
34.0307370;-118.2757610;;;;
34.0307105;-118.2757315;;;;
34.0306808;-118.2757013;;;;
34.0306486;-118.2756767;;;;
34.0306169;-118.2756530;;;;
34.0305882;-118.2756277;;;;
34.0305619;-118.2756015;;;;
34.0305423;-118.2755705;;;;
34.0305319;-118.2755366;;;;
34.0305327;-118.2754995;;;;
34.0305458;-118.2754574;;;;
34.0305687;-118.2754186;;;;
34.0305976;-118.2753812;;;;
34.0306305;-118.2753426;;;;
34.0306701;-118.2753012;;;;
34.0307152;-118.2752609;;;;
34.0308224;-118.2751845;;;;
34.0308842;-118.2751530;;;;
34.0309513;-118.2751291;;;;
34.0311705;-118.2750821;;;;
34.0312482;-118.2750678;;;;
34.0313284;-118.2750509;;;;
34.0314095;-118.2750292;;;;
34.0317256;-118.2748932;;;;
34.0318010;-118.2748439;;;;
34.0318750;-118.2747882;;;;
34.0319472;-118.2747268;;;;
34.0320177;-118.2746619;;;;
34.0320849;-118.2745922;;;;
34.0322075;-118.2744364;;;;
34.0322624;-118.2743496;;;;
34.0323631;-118.2741655;;;;
34.0324067;-118.2740676;;;;
34.0324467;-118.2739659;;;;
34.0324837;-118.2738617;;;;
34.0325461;-118.2736416;;;;
34.0325762;-118.2735308;;;;
34.0326063;-118.2734207;;;;
34.0326360;-118.2733106;;;;
34.0326661;-118.2732002;;;;
34.0326970;-118.2730893;;;;
34.0327277;-118.2729794;;;;
34.0327578;-118.2728709;;;;
34.0327876;-118.2727633;;;;
34.0328486;-118.2725450;;;;
34.0328800;-118.2724344;;;;
34.0329128;-118.2723241;;;;
34.0329482;-118.2722149;;;;
34.0330298;-118.2720018;;;;
34.0331213;-118.2718039;;;;
34.0331642;-118.2717167;;;;
34.0332027;-118.2716385;;;;
34.0332378;-118.2715697;;;;
34.0332695;-118.2715105;;;;
34.0333413;-118.2713836;;;;
34.0333614;-118.2713571;;;;
34.0333813;-118.2713254;;;;
34.0333968;-118.2713025;;;;
34.0334092;-118.2712791;;;;
34.0334307;-118.2712567;;;;
34.0334310;-118.2712534;;;;
34.0334530;-118.2712405;;;;
34.0334626;-118.2712313;;;;
34.0334753;-118.2712064;;;;
34.0335052;-118.2711724;;;;
34.0335042;-118.2711499;;;;
34.0335117;-118.2711426;;;;
34.0335135;-118.2711386;;;;
34.0335129;-118.2711258;;;;
34.0335102;-118.2711194;;;;
34.0335078;-118.2711086;;;;
34.0335080;-118.2711038;;;;
34.0335082;-118.2711003;;;;
34.0335086;-118.2710972;;;;
34.0335096;-118.2710945;;;;
34.0335105;-118.2710918;;;;
34.0335122;-118.2710897;;;;
34.0335152;-118.2710861;;;;
34.0335163;-118.2710863;;;;
34.0335190;-118.2710855;;;;
34.0335208;-118.2710849;;;;
34.0335211;-118.2710869;;;;
34.0335250;-118.2710813;;;;
34.0335326;-118.2710714;;;;
34.0335374;-118.2710647;;;;
34.0335388;-118.2710632;;;;
34.0335397;-118.2710616;;;;
34.0335411;-118.2710599;;;;
34.0335425;-118.2710581;;;;
34.0335440;-118.2710559;;;;
34.0335444;-118.2710550;;;;
34.0335475;-118.2710510;;;;
34.0335544;-118.2710393;;;;
34.0335898;-118.2709987;;;;
34.0336169;-118.2709833;;;;
34.0336480;-118.2709815;;;;
34.0336914;-118.2709879;;;;
34.0337375;-118.2710089;;;;
34.0338380;-118.2710733;;;;
34.0338849;-118.2711174;;;;
34.0339355;-118.2711694;;;;
34.0339923;-118.2712220;;;;
34.0340564;-118.2712763;;;;
34.0341891;-118.2713861;;;;
34.0342579;-118.2714452;;;;
34.0344011;-118.2715686;;;;
34.0344758;-118.2716326;;;;
34.0347032;-118.2718252;;;;
34.0349252;-118.2720141;;;;
34.0350003;-118.2720781;;;;
34.0350746;-118.2721426;;;;
34.0351474;-118.2722044;;;;
34.0352171;-118.2722650;;;;
34.0354136;-118.2724321;;;;
34.0354745;-118.2724840;;;;
34.0355328;-118.2725344;;;;
34.0356488;-118.2726350;;;;
34.0357095;-118.2726850;;;;
34.0358366;-118.2727927;;;;
34.0359041;-118.2728502;;;;
34.0359724;-118.2729104;;;;
34.0361134;-118.2730327;;;;
34.0362585;-118.2731573;;;;
34.0363314;-118.2732198;;;;
34.0364046;-118.2732834;;;;
34.0364788;-118.2733483;;;;
34.0365533;-118.2734152;;;;
34.0366291;-118.2734823;;;;
34.0368591;-118.2736846;;;;
34.0370095;-118.2738170;;;;
34.0371621;-118.2739496;;;;
34.0373179;-118.2740828;;;;
34.0373964;-118.2741481;;;;
34.0375521;-118.2742811;;;;
34.0376299;-118.2743482;;;;
34.0377075;-118.2744149;;;;
34.0377850;-118.2744813;;;;
34.0379396;-118.2746162;;;;
34.0381719;-118.2748162;;;;
34.0382498;-118.2748817;;;;
34.0383278;-118.2749470;;;;
34.0384054;-118.2750141;;;;
34.0384826;-118.2750812;;;;
34.0386369;-118.2752152;;;;
34.0387144;-118.2752818;;;;
34.0389479;-118.2754804;;;;
34.0392613;-118.2757439;;;;
34.0393406;-118.2758086;;;;
34.0394197;-118.2758728;;;;
34.0394991;-118.2759354;;;;
34.0396564;-118.2760610;;;;
34.0398120;-118.2761914;;;;
34.0399665;-118.2763225;;;;
34.0401129;-118.2764464;;;;
34.0401781;-118.2765033;;;;
34.0402344;-118.2765544;;;;
34.0402817;-118.2765979;;;;
34.0403231;-118.2766298;;;;
34.0403601;-118.2766483;;;;
34.0403982;-118.2766468;;;;
34.0404981;-118.2765438;;;;
34.0405903;-118.2764651;;;;
34.0407067;-118.2764079;;;;
34.0407695;-118.2763887;;;;
34.0408797;-118.2763743;;;;
34.0409253;-118.2763729;;;;
34.0409781;-118.2763709;;;;
34.0409865;-118.2763692;;;;
34.0409912;-118.2763678;;;;
34.0410004;-118.2763656;;;;
34.0410462;-118.2763554;;;;
34.0411186;-118.2763361;;;;
34.0412012;-118.2762908;;;;
34.0412440;-118.2762562;;;;
34.0412858;-118.2762156;;;;
34.0413255;-118.2761669;;;;
34.0413909;-118.2760453;;;;
34.0414267;-118.2758931;;;;
34.0414321;-118.2758085;;;;
34.0414331;-118.2757220;;;;
34.0414195;-118.2754535;;;;
34.0414080;-118.2752704;;;;
34.0414029;-118.2751767;;;;
34.0414028;-118.2750841;;;;
34.0414084;-118.2749916;;;;
34.0414966;-118.2746333;;;;
34.0415364;-118.2745512;;;;
34.0415832;-118.2744754;;;;
34.0416335;-118.2744016;;;;
34.0416833;-118.2743293;;;;
34.0417286;-118.2742618;;;;
34.0418233;-118.2741264;;;;
34.0418692;-118.2740550;;;;
34.0419159;-118.2739871;;;;
34.0420218;-118.2738335;;;;
34.0420658;-118.2737469;;;;
34.0421016;-118.2736572;;;;
34.0421298;-118.2735637;;;;
34.0421476;-118.2734693;;;;
34.0421561;-118.2733811;;;;
34.0421599;-118.2732989;;;;
34.0421625;-118.2732271;;;;
34.0421624;-118.2731673;;;;
34.0421609;-118.2731202;;;;
34.0421516;-118.2730814;;;;
34.0421326;-118.2730539;;;;
34.0421026;-118.2730390;;;;
34.0420686;-118.2730328;;;;
34.0420306;-118.2730280;;;;
34.0419872;-118.2730235;;;;
34.0419421;-118.2730187;;;;
34.0418966;-118.2730130;;;;
34.0418513;-118.2730092;;;;
34.0418067;-118.2730053;;;;
34.0417138;-118.2729970;;;;
34.0416643;-118.2729918;;;;
34.0416144;-118.2729879;;;;
34.0415664;-118.2729832;;;;
34.0415227;-118.2729812;;;;
34.0414815;-118.2729812;;;;
34.0414454;-118.2729816;;;;
34.0414145;-118.2729859;;;;
34.0413756;-118.2730213;;;;
34.0413680;-118.2730496;;;;
34.0413666;-118.2730815;;;;
34.0413666;-118.2731122;;;;
34.0413684;-118.2731432;;;;
34.0413742;-118.2731715;;;;
34.0413856;-118.2731969;;;;
34.0413985;-118.2732197;;;;
34.0414076;-118.2732382;;;;
34.0414143;-118.2732525;;;;
34.0414247;-118.2732749;;;;
34.0414277;-118.2732839;;;;
34.0414273;-118.2732912;;;;